,precision,recall,f1-score,support
person,0.6013071895424836,0.6814814814814815,0.6388888888888888,135.0
car,0.569620253164557,0.6666666666666666,0.6143344709897611,135.0
chair,0.4594594594594595,0.37777777777777777,0.4146341463414634,135.0
dining table,0.6493506493506493,0.5319148936170213,0.5847953216374269,94.0
accuracy,0.5671342685370742,0.5671342685370742,0.5671342685370742,0.5671342685370742
macro avg,0.5699343878792873,0.5644602048857368,0.563163206964385,499.0
weighted avg,0.5634092040710191,0.5671342685370742,0.5613858187848365,499.0
