model,test_accuracy
knn_multi_implant,0.6112224448897795
cnn_gru,0.5751503006012024
knn_prima,0.5711422845691383
knn_alphams,0.5671342685370742
cnn_prima,0.56312625250501
knn_argus2,0.561122244488978
cnn_alphams,0.561122244488978
cnn_argus2,0.5090180360721442
