,precision,recall,f1-score,support
person,0.5621301775147929,0.7037037037037037,0.625,135.0
car,0.5802469135802469,0.6962962962962963,0.632996632996633,135.0
chair,0.4111111111111111,0.2740740740740741,0.3288888888888889,135.0
dining table,0.7051282051282052,0.5851063829787234,0.6395348837209303,94.0
accuracy,0.56312625250501,0.56312625250501,0.56312625250501,0.56312625250501
macro avg,0.564654101833589,0.5647951142631994,0.5566051014016131,499.0
weighted avg,0.5531121414426485,0.56312625250501,0.5497912315116491,499.0
