model,dice,iou,pixel_acc
unet_argus2,0.8829739298671484,0.8351467233151197,0.985632698982954
unet_prima,0.871076975017786,0.8245652467012405,0.9817159380763769
unet_alphams,0.9018535744398832,0.8623446933925152,0.9862819612026215
unet_fusion,0.9048142377287149,0.8756442163139582,0.9890595972537994
