lr,best_val_acc,best_val_loss,best_acc_epoch,best_loss_epoch,collapse_count,loss_spike_count,val_acc_std_tail,val_loss_std_tail
0.0001,0.503006012024048,1.1588374199513682,14,14,2,1,0.09281872489098131,0.5709135168639802
0.0003,0.36472945891783565,1.2989075991338146,6,1,3,1,0.06446831458353929,0.23962505238678014
0.001,0.374749498997996,1.229794248550354,4,6,2,1,0.04440082660757213,0.0949036260230559
