,precision,recall,f1-score,support
person,0.5963855421686747,0.7333333333333333,0.6578073089700996,135.0
car,0.5325443786982249,0.6666666666666666,0.5921052631578947,135.0
chair,0.4461538461538462,0.21481481481481482,0.29,135.0
dining table,0.6262626262626263,0.6595744680851063,0.6424870466321243,94.0
accuracy,0.561122244488978,0.561122244488978,0.561122244488978,0.561122244488978
macro avg,0.550336598320843,0.5685973207249803,0.5455999046900297,499.0
weighted avg,0.5440981872073899,0.561122244488978,0.5376392377168314,499.0
