,precision,recall,f1-score,support
person,0.6047904191616766,0.7481481481481481,0.6688741721854304,135.0
car,0.5695364238410596,0.6370370370370371,0.6013986013986014,135.0
chair,0.4864864864864865,0.26666666666666666,0.3444976076555024,135.0
dining table,0.5981308411214953,0.6808510638297872,0.6368159203980099,94.0
accuracy,0.5751503006012024,0.5751503006012024,0.5751503006012024,0.5751503006012024
macro avg,0.5647360426526795,0.5831757289204098,0.562896575409386,499.0
weighted avg,0.561992181455843,0.5751503006012024,0.5568230420536073,499.0
