model,test_accuracy,best_lr,best_val_acc
cnn_argus2,0.5090180360721442,0.0001,0.503006012024048
cnn_prima,0.56312625250501,0.0001,0.56312625250501
cnn_alphams,0.561122244488978,0.0003,0.56312625250501
cnn_gru,0.5751503006012024,0.0003,0.593186372745491
