,precision,recall,f1-score,support
person,0.5637583892617449,0.6222222222222222,0.5915492957746479,135.0
car,0.5773809523809523,0.7185185185185186,0.6402640264026402,135.0
chair,0.41346153846153844,0.31851851851851853,0.3598326359832636,135.0
dining table,0.717948717948718,0.5957446808510638,0.6511627906976745,94.0
accuracy,0.561122244488978,0.561122244488978,0.561122244488978,0.561122244488978
macro avg,0.5681373995132384,0.5637509850275808,0.5607021872145566,499.0
weighted avg,0.5558282531087201,0.561122244488978,0.5532695524594307,499.0
