implant,condition,contrast_ratio,contrast_delta,contrast_index,simulated_iou,ssim,percept_min,percept_max,nonzero_pct,gt_area_pct,pred_area_pct,tau,mean_obj,mean_bg,bg_near_zero,contrast_ratio_defined
argus2,baseline,2.608185052871704,0.022920479997992516,0.44569606761781905,0.13004194901581156,0.5493921964685323,0.0,0.48822352290153503,0.34724404070760195,0.15238030189194726,0.08681101017690049,0.0660870298743248,0.037172868847846985,0.01425238884985447,False,True
argus2,edge_enhanced,4.13333797454834,0.013936573639512062,0.6103632105568628,0.17975567190226877,0.6415070910098303,0.0,0.2895643413066864,0.3137763813947135,0.15238030189194726,0.07847824602144662,0.018124342430382967,0.018384410068392754,0.004447835963219404,False,True
argus2,brightness / dim,10.527790069580078,0.02320096269249916,0.8264768111416511,0.20788280432507847,0.632508868633414,0.0,0.6585342288017273,0.3366573321494433,0.15238030189194726,0.08414725770097671,0.0162312351167202,0.02563604526221752,0.002435083268210292,False,True
argus2,brightness / black,51.489261627197266,0.0221957266330719,0.961855336366446,0.25848896434634977,0.749320878032629,0.0,0.6562262177467346,0.20053275049518476,0.15238030189194726,0.05013318762379619,0.01014980860054493,0.022635338827967644,0.0004396128060761839,False,True
argus2,brightness / blur,3.0301451683044434,0.029202856123447418,0.5037312467065488,0.137012987012987,0.5547255665288822,0.0,0.6727538108825684,0.34731234205313843,0.15238030189194726,0.08681101017690049,0.06959644705057144,0.043587472289800644,0.014384615235030651,False,True
argus2,edges_canny / dim,9.822015762329102,0.022138407453894615,0.8151614974972451,0.20999301187980432,0.6167873863781144,0.0,0.5460642576217651,0.3366573321494433,0.15238030189194726,0.08414725770097671,0.016659339889883995,0.02464785799384117,0.002509450074285269,False,True
argus2,edges_canny / black,42.11634063720703,0.02113310806453228,0.9535707851553141,0.2562367864693446,0.746598174758258,0.0,0.5437554121017456,0.2021036814425244,0.15238030189194726,0.05054299569701523,0.010956558864563704,0.021647091954946518,0.000513983191922307,False,True
argus2,edges_canny / blur,2.9461960792541504,0.028140034526586533,0.49317418456254747,0.1362309438858255,0.5515389968655628,0.0,0.5602834224700928,0.34738064339867497,0.15238030189194726,0.086879311522437,0.06971411406993866,0.04259902611374855,0.014458992518484592,False,True
argus2,brightness+edges_canny / dim,11.676816940307617,0.02820146456360817,0.8422065142000829,0.22143864598025387,0.6382033859756776,0.0,0.7118747234344482,0.3368622361860529,0.15238030189194726,0.08421555904651322,0.0180072789080441,0.030842838808894157,0.0026413737796247005,False,True
argus2,brightness+edges_canny / black,43.10517883300781,0.027196312323212624,0.9546203772104483,0.25824175824175827,0.7469105974677803,0.0,0.7095672488212585,0.2038795164264736,0.15238030189194726,0.05095280377023428,0.013844790868461132,0.02784222550690174,0.0006459137075580657,False,True
argus2,brightness+edges_canny / blur,3.344154119491577,0.03420335799455643,0.5396026920221902,0.1440235140431091,0.5558946876971284,0.0,0.7260963320732117,0.34738064339867497,0.15238030189194726,0.086879311522437,0.07347660884261131,0.04879427328705788,0.014590916223824024,False,True
argus2,edges_sobel / dim,10.769612312316895,0.025481250137090683,0.8300438096666635,0.2180028129395218,0.6242644474196407,0.0,0.603423535823822,0.3368622361860529,0.15238030189194726,0.08421555904651322,0.017523424234241247,0.02808946557343006,0.0026082152035087347,False,True
argus2,edges_sobel / black,40.94512939453125,0.02447592467069626,0.9522815466834226,0.25622625580413677,0.7459303048288699,0.0,0.6011140942573547,0.20346970835325456,0.15238030189194726,0.05088450242469777,0.012888597790151834,0.025088664144277573,0.0006127386586740613,False,True
argus2,edges_sobel / blur,3.1626181602478027,0.03148284927010536,0.5195245601494209,0.13955757970071567,0.553085553331639,0.0,0.6176431775093079,0.34738064339867497,0.15238030189194726,0.086879311522437,0.07175368070602417,0.046040598303079605,0.014557748101651669,False,True
prima,baseline,29.457767486572266,0.5996447205543518,0.9343338952895922,0.15770925110132158,0.751634497648718,0.0,4.35890007019043,0.10839423536643672,0.15238030189194726,0.027115634177993307,2.0432288646698,0.6207160949707031,0.021071389317512512,False,True
prima,edge_enhanced,82.13587951660156,0.2549187242984772,0.9759392180928351,0.1394830659536542,0.7575312828862721,0.0,2.2959420680999756,0.08913325592514172,0.15238030189194726,0.022266238644901303,0.885284423828125,0.25806060433387756,0.0031418742146342993,False,True
prima,brightness / dim,79.40596771240234,0.24276764690876007,0.9751222530666331,0.1621259490844127,0.7529966917989952,0.0,5.7192702293396,0.10129089543063999,0.15238030189194726,0.025339799194044124,0.3614984154701233,0.24586394429206848,0.003096290398389101,False,True
prima,brightness / black,1704.04931640625,0.17474260926246643,0.9988212622270467,0.0811295383236217,0.7562330185235578,0.0,5.700610637664795,0.049381872822894614,0.15238030189194726,0.012362543542107779,0.5654211342334747,0.17484521865844727,0.00010260572889819741,False,True
prima,brightness / blur,31.756591796875,0.6498802900314331,0.9389422354082786,0.16231755860238833,0.7518208110727429,0.0,5.846963405609131,0.10839423536643672,0.15238030189194726,0.027115634177993307,2.142441749572754,0.6710100769996643,0.02112978883087635,False,True
prima,edges_canny / dim,77.2078857421875,0.23815834522247314,0.9744231281055434,0.16264521894548703,0.7524708893097566,0.0,4.678647041320801,0.10129089543063999,0.15238030189194726,0.025339799194044124,0.3685288429260254,0.24128346145153046,0.003125114133581519,False,True
prima,edges_canny / black,1295.41796875,0.17013238370418549,0.9984515122917682,0.08202599731062304,0.7563061708951367,0.0,4.6599812507629395,0.04985998224165016,0.15238030189194726,0.012499146233180793,0.678305372595787,0.17026381194591522,0.00013143543037585914,False,True
prima,edges_canny / blur,31.49673080444336,0.6452694535255432,0.9384540041818082,0.1643774922463447,0.7526480053692086,0.0,4.806342124938965,0.10839423536643672,0.15238030189194726,0.027115634177993307,2.185706377029419,0.6664280891418457,0.021158643066883087,False,True
prima,brightness+edges_canny / dim,91.92530059814453,0.286908358335495,0.9784739272567293,0.16160714285714287,0.753025341945509,0.0,5.949155807495117,0.10129089543063999,0.15238030189194726,0.025339799194044124,0.37449362874031067,0.2900637984275818,0.003155429381877184,False,True
prima,brightness+edges_canny / black,1354.172119140625,0.21888475120067596,0.9985196600895742,0.08292245629762439,0.7563001886966118,0.0,5.930502891540527,0.05054299569701523,0.15238030189194726,0.012635748924253808,0.8335972279310226,0.21904650330543518,0.00016175676137208939,False,True
prima,brightness+edges_canny / blur,33.753929138183594,0.6940217018127441,0.9424512339472149,0.16748111950244335,0.7529624947189382,0.0,6.076859474182129,0.10839423536643672,0.15238030189194726,0.027115634177993307,2.274096131324768,0.7152106761932373,0.02118896134197712,False,True
prima,edges_sobel / dim,85.16295623779297,0.2654884457588196,0.9767845793685063,0.16160714285714287,0.7525950299466996,0.0,4.970807075500488,0.10129089543063999,0.15238030189194726,0.025339799194044124,0.3734242171049118,0.2686429023742676,0.0031544570811092854,False,True
prima,edges_sobel / black,1229.2462158203125,0.197461798787117,0.9983692477235905,0.08292245629762439,0.7563258053067705,0.0,4.965000629425049,0.05040639300594222,0.15238030189194726,0.012635748924253808,0.7693788707256317,0.19762256741523743,0.00016076727479230613,False,True
prima,edges_sobel / blur,32.74435806274414,0.6725988984107971,0.9407295729711808,0.16489361702127658,0.7526527370912977,0.0,5.031626224517822,0.10839423536643672,0.15238030189194726,0.027115634177993307,2.234100580215454,0.6937868595123291,0.021187981590628624,False,True
alpha_ams,baseline,10.020142555236816,1.8055285215377808,0.818513781256782,0.24150787075393537,0.7058900196249588,0.0,8.481435775756836,0.20913872003278464,0.15238030189194726,0.052318830680964414,3.925308406352997,2.00569486618042,0.20016629993915558,False,True
alpha_ams,edge_enhanced,22.22081184387207,0.8807595372200012,0.9138694459707144,0.21095421480530593,0.7316019232560821,0.0,4.305968761444092,0.16371832525100743,0.15238030189194726,0.04091250597636773,2.1583375930786133,0.922264039516449,0.04150451719760895,False,True
alpha_ams,brightness / dim,29.56016731262207,0.851393461227417,0.9345542507954228,0.30465320456540823,0.7223367506434802,0.0,11.239103317260742,0.20244518817020696,0.15238030189194726,0.05061129704255174,0.658805713057518,0.8812040090560913,0.029810521751642227,False,True
alpha_ams,brightness / black,472.83636474609375,0.6599250435829163,0.995777655586606,0.12460779919318692,0.7561822445497617,0.0,11.233234405517578,0.07581449354552285,0.15238030189194726,0.018987774059148966,1.5657525658607483,0.6613236665725708,0.001398631138727069,False,True
alpha_ams,brightness / blur,10.928403854370117,1.9934544563293457,0.8323325986331765,0.2587148257034859,0.7081387071352205,0.0,11.282431602478027,0.20927532272385765,0.15238030189194726,0.052318830680964414,4.0310869216918945,2.194237470626831,0.20078298449516296,False,True
alpha_ams,edges_canny / dim,28.4854736328125,0.8330238461494446,0.9321689792440566,0.306948109058927,0.7199683637684566,0.0,9.210821151733398,0.20244518817020696,0.15238030189194726,0.05061129704255174,0.6648632735013962,0.8633316159248352,0.03030778467655182,False,True
alpha_ams,edges_canny / black,339.37957763671875,0.6415539383888245,0.9941226517286235,0.12404836542767578,0.7562007947537144,0.0,9.204940795898438,0.07608769892766888,0.15238030189194726,0.01905607540468547,2.0067934095859528,0.6434499025344849,0.0018959593726322055,False,True
alpha_ams,edges_canny / blur,10.8125581741333,1.9750776290893555,0.8306883217154957,0.2661596958174905,0.70819951945835,0.0,9.254148483276367,0.20927532272385765,0.15238030189194726,0.052318830680964414,4.071561336517334,2.176358222961426,0.2012806087732315,False,True
alpha_ams,brightness+edges_canny / dim,34.000179290771484,1.014894962310791,0.9428565896754347,0.306948109058927,0.7227322716743692,0.0,11.596647262573242,0.20244518817020696,0.15238030189194726,0.05061129704255174,0.6699069440364838,1.0456491708755493,0.030754225328564644,False,True
alpha_ams,brightness+edges_canny / black,352.53997802734375,0.8234305381774902,0.9943417523769905,0.12544802867383512,0.7562188380322619,0.0,11.590779304504395,0.07663410969196092,0.15238030189194726,0.019192678095758486,2.576625943183899,0.8257728815078735,0.0023423524107784033,False,True
alpha_ams,brightness+edges_canny / blur,11.692451477050781,2.1569557189941406,0.8424257283463398,0.2851629502572899,0.7099249679043332,0.0,11.639984130859375,0.20927532272385765,0.15238030189194726,0.052318830680964414,4.20389187335968,2.358682632446289,0.20172695815563202,False,True
alpha_ams,edges_sobel / dim,31.583751678466797,0.9375649094581604,0.93861872144618,0.3075230972283326,0.7207064614573379,0.0,9.798774719238281,0.20244518817020696,0.15238030189194726,0.05061129704255174,0.6674796640872955,0.968220591545105,0.03065565414726734,False,True
alpha_ams,edges_sobel / black,333.52880859375,0.74609375,0.9940201145007966,0.12404836542767578,0.7562521913868684,0.0,9.793606758117676,0.07622430161874189,0.15238030189194726,0.01905607540468547,2.351334035396576,0.74833744764328,0.002243696479126811,False,True
alpha_ams,edges_sobel / blur,11.314106941223145,2.0796167850494385,0.8375842741087899,0.28076923076923077,0.708514248380839,0.0,9.837050437927246,0.20927532272385765,0.15238030189194726,0.052318830680964414,4.1717833280563354,2.281245231628418,0.2016284018754959,False,True
