model,ssim,psnr,l1
unet_img_argus2,0.14767025443651374,10.936995960417248,0.4528434721250383
unet_img_prima,0.15223531306736052,11.016631232367622,0.4488489353467548
unet_img_alphams,0.15284178033471107,10.970964825342572,0.4508552882406447
unet_img_fusion,0.15714789974311041,11.325414748418899,0.4388744060009245
