implant,condition,contrast_ratio,simulated_iou,ssim
argus2,baseline,0.0,0.0,0.7515340255306203
argus2,edge_enhanced,0.0,0.0,0.7460043146260168
argus2,brightness / dim,0.0,0.0,0.8272217571253294
argus2,brightness / black,0.0,0.0003936767578125,0.8967672880344076
argus2,brightness / blur,0.0,0.0,0.7492575230904841
argus2,edges_canny / dim,0.0,0.0,0.8206797951618213
argus2,edges_canny / black,0.0,0.0003936767578125,0.8920428919905418
argus2,edges_canny / blur,0.0,0.0,0.749702134521241
argus2,brightness+edges_canny / dim,0.0,0.0,0.828118722429328
argus2,brightness+edges_canny / black,0.0,0.0003936767578125,0.8924768225867035
argus2,brightness+edges_canny / blur,0.0,0.0,0.7483967527639738
argus2,edges_sobel / dim,0.0,0.0,0.8167638890667912
argus2,edges_sobel / black,0.0,0.0003936767578125,0.884527315331903
argus2,edges_sobel / blur,0.0,0.0,0.7497815466309824
prima,baseline,0.0,0.0003936767578125,0.9256175492701314
prima,edge_enhanced,0.0,0.0003936767578125,0.9242098048632625
prima,brightness / dim,0.0,0.0003936767578125,0.9368959953682416
prima,brightness / black,0.0,0.0003936767578125,0.9604409837702296
prima,brightness / blur,0.0,0.0003936767578125,0.9257402684673111
prima,edges_canny / dim,0.0,0.0003936767578125,0.9360001911519342
prima,edges_canny / black,0.0,0.0003936767578125,0.9593281757147016
prima,edges_canny / blur,0.0,0.0003936767578125,0.9255805359012017
prima,brightness+edges_canny / dim,0.0,0.0003936767578125,0.9370800897938193
prima,brightness+edges_canny / black,0.0,0.0003936767578125,0.9595476736231114
prima,brightness+edges_canny / blur,0.0,0.0003936767578125,0.9260144811057528
prima,edges_sobel / dim,0.0,0.0003936767578125,0.9354896881271655
prima,edges_sobel / black,0.0,0.0003936767578125,0.9576282592907375
prima,edges_sobel / blur,0.0,0.0003936767578125,0.9255585226559464
custom_grid,baseline,0.0,0.0003936767578125,0.8245447967789604
custom_grid,edge_enhanced,0.0,0.0003936767578125,0.8216063140008059
custom_grid,brightness / dim,0.0,0.0003936767578125,0.8469479799104339
custom_grid,brightness / black,0.0,0.0003936767578125,0.9277695525236999
custom_grid,brightness / blur,0.0,0.0003936767578125,0.8244588345822439
custom_grid,edges_canny / dim,0.0,0.0003936767578125,0.8443648495785675
custom_grid,edges_canny / black,0.0,0.0003936767578125,0.9247858494426523
custom_grid,edges_canny / blur,0.0,0.0003936767578125,0.8244475812837717
custom_grid,brightness+edges_canny / dim,0.0,0.0003936767578125,0.8471937499143535
custom_grid,brightness+edges_canny / black,0.0,0.0003936767578125,0.9249926890635692
custom_grid,brightness+edges_canny / blur,0.0,0.0003936767578125,0.8244019637238735
custom_grid,edges_sobel / dim,0.0,0.0003936767578125,0.8436065800809959
custom_grid,edges_sobel / black,0.0,0.0003936767578125,0.921336837845894
custom_grid,edges_sobel / blur,0.0,0.0003936767578125,0.8243892036735799
