lr,best_val_acc,best_val_loss,best_acc_epoch,best_loss_epoch,collapse_count,loss_spike_count,val_acc_std_tail,val_loss_std_tail
0.0001,0.5531062124248497,1.0616129842215407,7,12,0,0,0.02618664197469335,0.023876399184319292
0.0003,0.56312625250501,1.045396827743622,7,12,1,1,0.17859579571522852,0.7890992940145294
0.001,0.5450901803607214,1.0668554480424626,5,9,4,4,0.16815632204569866,1.41618252671396
