lr,best_val_acc,best_val_loss,best_acc_epoch,best_loss_epoch,collapse_count,loss_spike_count,val_acc_std_tail,val_loss_std_tail
0.0001,0.5490981963927856,1.0511175090659834,5,8,0,0,0.024288121526650424,0.02458813800138347
0.0003,0.593186372745491,1.0261049207322344,12,12,1,1,0.10269754112280816,0.13640625463874131
0.001,0.5450901803607214,1.0568818721121442,9,9,6,2,0.1310778657973203,0.7378028957910489
